"name","enabled","OperatingSystem"
"DCSDC02","False","Windows Server 2012 R2 Standard"
"DCWDC01","False","Windows Server 2016 Standard"
"DCAWS02B","True","Windows Server 2019 Standard"
"DCAWS01","True","Windows Server 2019 Standard"
"PWISHCD01","False","Windows Server 2008 R2 Enterprise"
"LC-01","True","Windows Server 2016 Standard"
"TVSERVER","True","Windows Server 2012 R2 Standard"
"CASDC01","True","Windows Server 2012 R2 Standard"
"vwisy01","False","Windows Server 2008 R2 Enterprise"
"CWAP01PMVWI","False","Windows Server 2012 Standard"
"co47114w14","False",
"PS01PMVWI","False","Windows Server 2012 Standard"
"PSSDC01","True","Windows Server 2012 R2 Standard"
"PNC-PRODUCT01","False","Windows Server? 2008 Enterprise"
"PNC-TEST01","False","Windows Server? 2008 Enterprise"
"FS01PMVCL","False","Windows Server 2012 Standard"
"AD0305W14","True","Windows 7 Enterprise"
"HPO0344H","False","Windows 7 Enterprise"
"NDSDC04","False","Windows Server 2012 R2 Standard"
"NDSDC02","False","Windows Server 2012 R2 Standard"
"FSSDC01","False",
"NDSDC01","False","Windows Server 2012 R2 Standard"
"NDSDC03","False","Windows Server 2012 R2 Standard"
"CLSDC01","False","Windows Server 2012 R2 Standard"
"CS35105W16","False","Windows 10 Enterprise"
"CS35101W16","False","Windows 10 Enterprise"
"CS35108W16","False","Windows 10 Enterprise"
"CS35109W16","False","Windows 10 Enterprise"
"CS35107W16","False","Windows 10 Enterprise"
"CS35104W16","False","Windows 10 Enterprise"
"CS35110W16","False","Windows 10 Enterprise"
"CS35103W16","False","Windows 10 Enterprise"
"ND04","False","Windows Server 2012 Standard"
"SQ02PMVCL","False","Windows Server 2012 Standard"
"WL344IW16","False","Windows 10 Enterprise"
"WL344DW16","False","Windows 10 Enterprise"
"WL344EW16","True","Windows 10 Enterprise"
"WL344CW16","False","Windows 10 Enterprise"
"WL344HW16","False","Windows 10 Enterprise"
"WL344FW16","False","Windows 10 Enterprise"
"MOSESFD1","False","Windows 7 Enterprise"
"AS474LW16","False","Windows 10 Enterprise"
"cwis01pmvwi","False","Windows Server 2012 R2 Standard"
"IFSM3961W716","True","Windows 7 Professional"
"COUNSXPS13-1","True","Windows 7 Enterprise"
"AAAHCPC2","True","Windows 7 Professional"
"VWIFS02","True","Windows Server 2008 R2 Enterprise"
"FSH01","True","Windows Server 2016 Standard"
